Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D3,3			d3,13																									R	r																		
			D3,13																																												
D11,2			d4,13																										R	r																	
			D4,13																																												
D15,3			d5,13																											R	r																
			D5,13																																												
D15,2			d6,13																												R	r															
			D6,13																																												
D18,1			d7,13																													R	r														
			D7,13																																												
			d8,13																																												
D13,1			U8,1																														R	r													
			D8,8																																												
			d9,8																																												
D6,2			U9,8																															R	r												
			D9,8																																												
			d10,8																																												
D0,3			U10,13																																R	r											
			D10,7																																												
			d11,7																																												
D1,1			U11,16																																	R	r										
			D11,7																																												
			d12,7																																												
D20,3			U12,19																																		R	r									
			D12,5																																												
			d13,5																																												
D19,2			U13,25																																			R	r								
D11,2			D13,0																																				R								
D19,1																																															
D16,2																																															
D16,1			P12																																												
D19,2			d0,12	P																						r																					
			D0,12																																												
D14,3			d1,12																							R	r																				
			D1,12																																												
D10,3			d2,12	G23																							R	r																			
			D2,12																																												
D3,1			d3,12																									R	r																		
			D3,12																																												
D10,3			d4,12																										R	r																	
			D4,12																																												
D1,2			d5,12																											R	r																
			D5,12																																												
D9,3			d6,12																												R	r															
			D6,12																																												
D6,2			d7,12																													R	r														
			D7,12																																												
D11,3			d8,12																														R	r													
			D8,11																																												
